wl;00_background;01_m_c;01_m_q;02_m_c;02_m_q;03_m_c;03_m_q
300;5.205235299;0.884837452;27.79874584;0;1.212976196;9.805798029;17.62924861
301;5.174864168;0.957960759;29.56863593;0.132623618;1.861977295;10.14298096;17.89012316
302;5.145223783;1.030460691;31.29554631;0.264679361;2.496281494;10.47764941;18.14181308
303;5.116310106;1.102380851;32.97952052;0.396282857;3.116254317;10.80981625;18.38402967
304;5.088119099;1.173764845;34.62060209;0.52754973;3.72226129;11.13949433;18.61648422
305;5.060646724;1.244656278;36.21883456;0.658595606;4.314667939;11.46669651;18.83888801
306;5.033888943;1.315098753;37.77426145;0.789536109;4.893839787;11.79143566;19.05095232
307;5.007841718;1.385135877;39.28692632;0.920486867;5.460142361;12.11372463;19.25238846
308;4.982501011;1.454811253;40.75687268;1.051563503;6.013941186;12.43357627;19.44290771
309;4.957862783;1.524168486;42.18414407;1.182881643;6.555601787;12.75100345;19.62222134
310;4.933922997;1.593251182;43.56878403;1.314556913;7.08548969;13.06601903;19.79004067
311;4.910677615;1.662102944;44.91083609;1.446704938;7.603970419;13.37863587;19.94607696
312;4.888122598;1.730767377;46.21034378;1.579441343;8.1114095;13.68886682;20.09004151
313;4.866260952;1.799136607;47.46689323;1.712504784;8.607112166;13.99638081;20.22221419
314;4.845101606;1.86705876;48.68007468;1.845513597;9.089986588;14.3008819;20.34322429
315;4.824649403;1.934511442;49.8499378;1.978402931;9.559802696;14.60243564;20.45330726
316;4.804909191;2.001472263;50.97653224;2.111107935;10.01633042;14.90110759;20.55269854
317;4.785885813;2.06791883;52.0599077;2.243563757;10.4593397;15.19696331;20.64163357
318;4.767584116;2.13382875;53.10011383;2.375705547;10.88860046;15.49006834;20.72034779
319;4.750008945;2.19917963;54.09720032;2.507468453;11.30388263;15.78048825;20.78907664
320;4.733165145;2.26394908;55.05121683;2.638787623;11.70495614;16.06828858;20.84805556
321;4.717057561;2.328114706;55.96221303;2.769598207;12.09159093;16.3535349;20.89752
322;4.70169104;2.391654115;56.8302386;2.899835352;12.46355693;16.63629277;20.93770538
323;4.687070425;2.454544917;57.65534321;3.029434209;12.82062407;16.91662772;20.96884716
324;4.673200563;2.516764717;58.43757654;3.158329926;13.16256228;17.19460533;20.99118077
325;4.660086299;2.578291125;59.17698824;3.286457651;13.48914148;17.47029114;21.00494165
326;4.647749379;2.639336682;59.87305174;3.41444935;13.80276945;17.74341904;21.00712191
327;4.636201292;2.700090256;60.52531264;3.542863864;14.10554895;18.01372418;20.99515488
328;4.625431492;2.760493945;61.13392893;3.67152665;14.39679242;18.281274;20.96993788
329;4.615429437;2.820489844;61.6990586;3.80026317;14.67581232;18.54613595;20.93236822
330;4.606184581;2.88002005;62.22085964;3.928898881;14.94192109;18.80837748;20.88334321
331;4.597686382;2.939026661;62.69949002;4.057259242;15.19443118;19.06806603;20.82376016
332;4.589924295;2.997451771;63.13510775;4.185169714;15.43265503;19.32526905;20.75451638
333;4.582887776;3.055237479;63.52787079;4.312455756;15.65590511;19.58005398;20.67650919
334;4.576566282;3.112325879;63.87793715;4.438942825;15.86349385;19.83248827;20.59063588
335;4.570949268;3.16865907;64.1854648;4.564456383;16.0547337;20.08263937;20.49779378
336;4.566026191;3.224179147;64.45061173;4.688821887;16.22893711;20.33057472;20.39888019
337;4.561786506;3.278828207;64.67353594;4.811864797;16.38541653;20.57636177;20.29479243
338;4.55821967;3.332548347;64.85439539;4.933410573;16.52348441;20.82006796;20.1864278
339;4.55523426;3.386436116;64.98910406;5.056629543;16.65294907;21.06118078;20.06120873
340;4.552769741;3.441390344;65.07435523;5.184130469;16.78205807;21.29919295;19.90854505
341;4.550861902;3.497056543;65.11147588;5.314896463;16.90778269;21.53417979;19.73231518
342;4.549546532;3.553080229;65.101793;5.447910633;17.02709423;21.76621661;19.53639753
343;4.54885942;3.609106914;65.04663357;5.58215609;17.13696399;21.99537873;19.32467053
344;4.548836353;3.664782114;64.94732458;5.716615944;17.23436325;22.22174147;19.10101257
345;4.549513122;3.719751342;64.80519302;5.850273306;17.31626331;22.44538015;18.86930208
346;4.550925514;3.773660111;64.62156588;5.982111284;17.37963545;22.66637009;18.63341748
347;4.553109319;3.826153937;64.39777013;6.11111299;17.42145097;22.88478659;18.39723718
348;4.556100325;3.876878333;64.13513276;6.236261533;17.43868117;23.10070498;18.16463959
349;4.55993432;3.925478812;63.83498077;6.356540023;17.42829733;23.31420058;17.93950313
350;4.564647094;3.97160089;63.49864113;6.470931571;17.38727074;23.5253487;17.72570622
351;4.570754669;4.011886457;63.07024021;6.573392907;17.29682952;23.71550269;17.49775179
352;4.578611364;4.04417716;62.50610988;6.660449477;17.14608132;23.87044792;17.23213658
353;4.58801041;4.069918147;61.82588541;6.734937466;16.94381673;23.99690776;16.93572967
354;4.59874504;4.090554567;61.04920204;6.799693059;16.69882637;24.10160558;16.61540019
355;4.610608488;4.107531567;60.19569503;6.857552441;16.41990083;24.19126475;16.27801721
356;4.623393986;4.122294295;59.28499964;6.911351796;16.11583072;24.27260863;15.93044985
357;4.636894765;4.136287899;58.33675112;6.96392731;15.79540665;24.35236059;15.5795672
358;4.65090406;4.150957526;57.37058474;7.018115166;15.46741922;24.437244;15.23223837
359;4.665215102;4.167748326;56.40613574;7.07675155;15.14065903;24.53398222;14.89533246
360;4.679621125;4.188105445;55.46303939;7.142672646;14.82391669;24.64929862;14.57571856
361;4.69391536;4.213474032;54.56093094;7.218714639;14.5259828;24.78991656;14.28026577
362;4.707891041;4.245299235;53.71944565;7.307713714;14.25564796;24.96255942;14.01584321
